SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,648 Pomello Dr,Claremont,CA,91711,2688888,4,7.5,683 - Claremont,6500,36378,1982,68,414,,Active,,,https://www.redfin.com/CA/Claremont/648-E-Pomello-Dr-91711/home/8045720,CRMLS,OC22046843,N,Y,34.1356535,-117.7052869
MLS Listing,,Single Family Residential,2040 Cape Cod Ct,Claremont,CA,91711,1269988,4,3.0,683 - Claremont,2312,7717,1977,75,549,,Active,,,https://www.redfin.com/CA/Claremont/2040-Cape-Cod-Ct-91711/home/8046585,CRMLS,OC22041543,N,Y,34.1207706,-117.7103732
MLS Listing,,Single Family Residential,889 Pomello Dr,Claremont,CA,91711,2489000,5,5.5,683 - Claremont,5600,23599,1991,78,444,95,Active,,,https://www.redfin.com/CA/Claremont/889-E-Pomello-Dr-91711/home/8047159,CRMLS,CV22011614,N,Y,34.1363467,-117.7014268
MLS Listing,,Vacant Land,0 Huntington Dr,Montclair,CA,91763,192500,,,685 - Montclair,,6568,,88,,,Active,,,https://www.redfin.com/CA/MONTCLAIR/HUNTINGTON-DR-91763/home/160896789,CRMLS,CV22032175,N,Y,34.094195,-117.703875
MLS Listing,,Vacant Land,4322 Via Padova,Claremont,CA,91711,420000,,,683 - Claremont,,13342,,91,,,Contingent,,,https://www.redfin.com/CA/Claremont/4322-Via-Padova-91711/home/8046941,CRMLS,CV22029276,N,Y,34.1481574,-117.7013825
PAST SALE,August-10-2016,Single Family Residential,2489 Michigan Dr,Claremont,CA,91711,1050000,4,3.0,683 - Claremont,2083,10317,1979,1,504,,Pending,,,https://www.redfin.com/CA/Claremont/2489-Michigan-Dr-91711/home/8045869,CRMLS,CV22024906,N,Y,34.1282376,-117.7082195
MLS Listing,,Single Family Residential,962 Appalachian,Claremont,CA,91711,2585000,5,5.5,683 - Claremont,5629,29026,2005,124,459,255,Active,,,https://www.redfin.com/CA/Claremont/962-Appalachian-91711/home/22932012,CRMLS,TR21268764,N,Y,34.148194,-117.6993527
MLS Listing,,Vacant Land,14 Tract 6864,Mt Baldy,CA,91759,79900,,,693 - Mt Baldy,,6619,,276,,,Active,,,https://www.redfin.com/CA/Mt-Baldy/14-Tract-6864-91759/home/178750350,CRMLS,PW21177587,N,Y,34.205076,-117.674993
MLS Listing,,Single Family Residential,1047 Pomello Dr,Claremont,CA,91711,3980000,6,7.0,683 - Claremont,7062,34689,1989,303,564,,Contingent,,,https://www.redfin.com/CA/Claremont/1047-E-Pomello-Dr-91711/home/8047070,CRMLS,CV21156939,N,Y,34.1363285,-117.6973364
MLS Listing,,Vacant Land,4023 Mount Baldy Rd,Claremont,CA,91711,2500000,,,683 - Claremont,,240451,,1498,,,Active,,,https://www.redfin.com/CA/Claremont/4023-Mt-Baldy-Rd-91711/home/8046976,CRMLS,WS18080788,N,Y,34.1430073,-117.7026515
